Couse Code, Prerequisites

"MATH$P120", "NA"
"MATH$P124", "NA"
"CS115", "NA"
"CS116", "CS115"
"CS120", "MATH124 or MATH185 or MATH$P124 or MATH109 or MATH$P109 or CS115"
"CS130", "CS120"
"CS230", "CS130"
"CS311", "CS130"
"CS315", "(IT220 and CS116) or CS120"
"CS330", "CS116 or CS120"
"CS332", "CS130 and MATH227"
"CS341", "CS120 and MATH186"
"CS374", "CS230"
"IT220", "CS115 or CS120"
"MATH109", "ACAD102 or MATH$P109 or MATH$P121 or MATW019"
"MATH120", "ACAD104 or ACT Math 20 or SAT Math 500 or MATH$P120 or MATW019"
"MATH124", "MATH109 or MATH$P124 or MATH121"
"MATH130", "ACAD102 or ACT Math 20 or SAT Math 500 or MATH$P120"
"MATH185", "MATH124 or MATH$P185"
"MATH186", "MATH185"
"MATH187", "MATH131 or MATH185"
"MATH227", "MATH185 or CS120"
"MATH237", "MATH120 or MATH123 or (MATW020 and MATW129)"
"MATH238", "MATH237 or MATH147"
"MATH286", "MATH186"
"MATH334", "MATH127 or MATH227 or MATH130"
"MATH341", "CS120 and MATH186"
"MATH361", "MATH186"
"MATH410", "MATH309"
"MATH418", "MATH309 or MATH311"
"MATH497", "MATH397"